date,year,ticker,country,sector_2sic,ret_1m_pct,ret_3m_mean,ret_3m_vol,log_market_value,mktcap_growth_1m,dividend_yield,dividend_yield_lag1,esg_score_lag1,rf_usa,cpi_usa,fx_rate,esg_score
2018-12-31 00:00:00,2018,U:ASH,USA,28,-0.133471913,-0.046995483,0.13644715,8.399177379,-0.131649557,1.41,1.22,61.15,0.002,105.9979,1,61.15
2023-12-29 00:00:00,2023,CN:YAL,China,33,-0.050503222,-0.068028901,0.015238215,10.65439431,-0.050504396,1.31,1.24,67.64,0.0043,129.4194,7.149575,67.64
2018-12-31 00:00:00,2018,HALO,USA,28,-0.113867732,-0.065353734,0.112340278,7.656753352,-0.113867194,0,0,23.11,0.002,105.9979,1,23.11
2014-12-31 00:00:00,2014,CME,USA,62,0.076156539,0.044758571,0.033259976,10.30429885,0.047377445,2.12,2.22,45.65,0,99.06969,1,45.65
2015-12-31 00:00:00,2015,K:SARG,China,54,-0.039493983,-0.004349142,0.063405259,10.92965925,-0.039408394,2.74,2.63,35.3,0.0001,99.79242,6.4527,35.3
2019-12-31 00:00:00,2019,I:IF,Italy,61,0.030927966,-0.027612409,0.070993559,6.624529927,0.03092713,7.5,7.73,63.94,0.0014,108.4201,0.89996,63.94
2018-12-31 00:00:00,2018,J:NVN,Japan,33,-0.133087975,-0.097069048,0.084363715,12.06747128,-0.13308641,1.94,1.68,6.93,0.002,105.9979,112.2248,6.93
2018-12-31 00:00:00,2018,U:M,USA,53,-0.11907541,-0.044597028,0.06471842,9.122205091,-0.128346629,5.07,4.41,67.17,0.002,105.9979,1,67.17
2018-12-31 00:00:00,2018,E:IND,Spain,56,-0.174976497,-0.040629456,0.130955233,11.15134034,-0.174972397,2.39,1.97,79.93,0.002,105.9979,0.8787457,79.93
2021-12-31 00:00:00,2021,TH,USA,65,-0.035402906,-0.011400153,0.111135328,5.893134813,-0.035233381,0,0,23.88,0.0001,117.6295,1,23.88
